goos: darwin
goarch: arm64
pkg: github.com/agentdisk/agent-disk/internal/service
cpu: Apple M4
BenchmarkSubgraph/N=100000/E=5/powerlaw-10           	      10	  59952725 ns/op	123366408 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/powerlaw-10           	      10	  70363762 ns/op	123366419 B/op	      92 allocs/op
BenchmarkSubgraph/N=100000/E=5/powerlaw-10           	      10	  53608329 ns/op	123366408 B/op	      92 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/found-10    	      10	    146392 ns/op	   18256 B/op	     101 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/found-10    	      10	    146342 ns/op	   18256 B/op	     101 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/found-10    	      10	    144262 ns/op	   18256 B/op	     101 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/nopath-10   	      10	     53379 ns/op	    3297 B/op	      22 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/nopath-10   	      10	     24942 ns/op	    3297 B/op	      22 allocs/op
BenchmarkShortestPath/N=1000/E=5/uniform/nopath-10   	      10	     44438 ns/op	    3297 B/op	      22 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/found-10   	      10	     76917 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/found-10   	      10	     76238 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/found-10   	      10	     78029 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/nopath-10  	      10	     17292 ns/op	    4416 B/op	      20 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/nopath-10  	      10	     17692 ns/op	    4416 B/op	      20 allocs/op
BenchmarkShortestPath/N=1000/E=5/powerlaw/nopath-10  	      10	     18988 ns/op	    4416 B/op	      20 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/found-10   	      10	   1167129 ns/op	   21369 B/op	     120 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/found-10   	      10	    992217 ns/op	   21368 B/op	     120 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/found-10   	      10	    942167 ns/op	   21368 B/op	     120 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/nopath-10  	      10	    142508 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/nopath-10  	      10	    141067 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=10000/E=5/uniform/nopath-10  	      10	    138492 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/found-10  	      10	   1071475 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/found-10  	      10	    902038 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/found-10  	      10	    797588 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/nopath-10 	      10	    135646 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/nopath-10 	      10	    136079 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=10000/E=5/powerlaw/nopath-10 	      10	    140554 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/found-10  	      10	  24398900 ns/op	   21336 B/op	     118 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/found-10  	      10	  25252729 ns/op	   21336 B/op	     118 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/found-10  	      10	  27828754 ns/op	   21336 B/op	     118 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/nopath-10 	      10	   1315317 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/nopath-10 	      10	   1307762 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=100000/E=5/uniform/nopath-10 	      10	   1306229 ns/op	    3296 B/op	      22 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/found-10 	      10	  24198896 ns/op	    3640 B/op	      25 allocs/op
