# BFS bench — 2026-07-02T08:35:37Z
# benchtime=10x count=3
# go version: go version go1.26.3 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/agentdisk/agent-disk/internal/service
cpu: Apple M4
BenchmarkShortestPath/N=100000/E=5/powerlaw/nopath-10         	      10	   1292375 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/nopath-10         	      10	   1223825 ns/op	    4456 B/op	      24 allocs/op
BenchmarkNeighbors/N=1000/E=5/uniform-10                      	      10	     40546 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/uniform-10                      	      10	     46633 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/uniform-10                      	      10	     58117 ns/op	    3788 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/powerlaw-10                     	      10	     44962 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/powerlaw-10                     	      10	     44017 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/powerlaw-10                     	      10	     47150 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/uniform-10                     	      10	    136029 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/uniform-10                     	      10	    141154 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/uniform-10                     	      10	    140679 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/powerlaw-10                    	      10	    136721 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/powerlaw-10                    	      10	    135675 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/powerlaw-10                    	      10	    140433 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/uniform-10                    	      10	   1297717 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/uniform-10                    	      10	   1217367 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/uniform-10                    	      10	   1314783 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/powerlaw-10                   	      10	   1328338 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/powerlaw-10                   	      10	   1295108 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/powerlaw-10                   	      10	   1294038 ns/op	    3776 B/op	      10 allocs/op
PASS
ok  	github.com/agentdisk/agent-disk/internal/service	29.715s
